"transaction_number";"product_name";"total_price";"customer_id";"sales_timestamp"
T0000006013;Baby Puree Apple Small Pack;12669.43;78028;"2022-10-09 18:36:01"
T0000008027;Turkey Fillet Premium #39;7488.42;19564;"2023-09-26 13:52:55"
T0000066519;Raspberries Classic #33;1754.06;31290;"2022-07-24 20:11:24"
T0000080129;Ginger Shot Premium #35;2054.98;39900;"2023-07-13 00:05:55"
T0000090083;Dog Food Grain Free #18;1888.43;24913;"2022-06-19 07:42:24"
T0000101054;Sesame Crackers;5078.56;22815;"2023-04-24 23:25:02"
T0000104687;Ginger Shot Premium #35;2075.21;20802;"2023-07-11 20:21:50"
T0000141414;Trash Bags Biodegradable Family Pack;2729.7;43580;"2022-06-30 10:00:16"
T0000207766;Beans in Water Classic;24987.57;65895;"2022-08-10 10:28:33"
T0000270104;Berry Mix Small Pack #17;2163.75;18253;"2022-08-23 17:11:57"
